Comment,Designator,Footprint,LCSC
2.7K,"R5,R6,R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,C119333
4.7K,"R3,R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,C119339
10uF,C2,C_Disc_D5.0mm_W2.5mm_P2.50mm,C2761733
Screw_Terminal_01x11,J5,"TerminalBlock_Phoenix_MKDS-1,5-11_1x11_P5.00mm_Horizontal",C2802625
Conn_01x15_Female,"J1,J2",PinSocket_1x15_P2.54mm_Vertical,C2932676
PC817,"U2,U3",PC817,C390734
Motor1 GRV,J6,Grove,C403774
Grounded,J12,PinHeader_1x02_P2.54mm_Vertical,C492401
Powered,J11,PinHeader_1x03_P2.54mm_Vertical,C49257
1000uF,"C1,C4",CP_Radial_D10.0mm_P5.00mm,C503217
2.2uF,C3,C_Disc_D5.0mm_W2.5mm_P2.50mm,C5181476
0.1uf,C5,C_Disc_D5.0mm_W2.5mm_P2.50mm,C5632430
1N5408,D2,1N5408,C698639
Motor1,J8,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,C86504
mEZD71201A,RG1,mEZD71201A,
