Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Radial_D10.0mm_P5.00mm,125.017677,-30.37,0.0,top
C2,10uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,101.35,-39.8,-90.0,top
C3,2.2uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,96.275,-39.725,-90.0,top
C4,1000uF,CP_Radial_D10.0mm_P5.00mm,111.167677,-30.37,0.0,top
C5,0.1uf,C_Disc_D5.0mm_W2.5mm_P2.50mm,56.8,-43.9,-90.0,top
D2,1N5408,1N5408,111.325,-50.375,-90.0,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,46.48,-33.465,-90.0,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,46.53,-48.675,-90.0,top
J5,Screw_Terminal_01x11,"TerminalBlock_Phoenix_MKDS-1,5-11_1x11_P5.00mm_Horizontal",123.52,-65.65,90.0,top
J6,Motor1 GRV,Grove,87.325,-28.225,0.0,top
J8,Motor1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,75.975,-28.925,0.0,top
J11,Powered,PinHeader_1x03_P2.54mm_Vertical,107.025,-72.025,-90.0,top
J12,Grounded,PinHeader_1x02_P2.54mm_Vertical,105.76,-77.05,90.0,top
R3,4.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,87.075,-88.675,180.0,top
R4,4.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,87.1,-83.55,180.0,top
R5,2.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,87.34,-64.45,180.0,top
R6,800,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,87.405,-68.1,0.0,top
R7,800,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,87.205,-76.35,180.0,top
RG1,mEZD71201A,mEZD71201A,99.1,-30.25,0.0,top
U2,PC817,PC817,73.725,-66.245,180.0,top
U3,PC817,PC817,73.725,-77.4,180.0,top
