Comment,Designator,Footprint,LCSC
SS36,D2,SMA(DO-214AC),C116712
HR911105A,J12,HR911105A,C12074
10uF,"C2,C7",C_0805_2012Metric,C15850
I2C-3V3,"J2,J3",Qwic_vertical,C160390
S10MC,D1,D_SMC_larger_pads,C169472
150,R11,R_0603_1608Metric,C22808
217,"R21,R22",R_0603_1608Metric,C22962
341,"R18,R19",R_0603_1608Metric,C23144
500,"R10,R23,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric,C23193
BAV99,"D11,D12",SOT-23,C2500
BSS138,"Q1,Q2",SOT-23,C255592
10K,"R14,R15,R16,R17",R_0603_1608Metric,C25804
200K,R20,R_0603_1608Metric,C25811
Conn_01x08_Female,"J16,J5,J6,J7",PinSocket_1x08_P2.54mm_Vertical,C27438
1uF,"C3,C31",C_0805_2012Metric,C28323
ADS1115 - 1001001,J19,PinSocket_1x10_P2.54mm_Vertical,C2897373
HF3FF_012-1HST_257_,"RLY1,RLY2,RLY3,RLY4,RLY5,RLY6,RLY7,RLY8,RLY9",HF3FF0121HST257,C329296
PCA9306DCUR,IC3,PCA9306DCUR,C33196
ADS1115IDGS - 1001000,U6,TSSOP-10_3x3mm_P0.5mm,C37593
776087-1,J8,7760871,C378893
Motor1 GRV,J21,Grove,C403774
Conn_01x06_Female,"J15,J4",PinSocket_1x06_P2.54mm_Vertical,C40877
2.2K,"R12,R13",R_0603_1608Metric,C4190
CA-IS3722HS,U9,SOIC-8_3.9x4.9mm_P1.27mm,C428879
KF142V-5.0-4P,"KF1,KF2,KF3",KF142V-5.08-4P,C475136
Conn_01x03_Male,"J10,J18",PinHeader_1x03_P2.54mm_Vertical,C49257
0.1uF,"C11,C16,C17,C30,C6,C8,C9",C_0805_2012Metric,C49678
105133-0011,J9,MOLEX_105133-0011,C586226
22uF,C1,C_0805_2012Metric,C602037
PC817,"U1,U2",SMD-4_4.6x7.62mm_P2.54mm,C66405
Teensy_Ethernet,J11,PinHeader_2x03_P2.00mm_Vertical,C6694888
330uF,C5,CP_Elec_10x10.5,C72510
470uF,C4,CP_Elec_10x10.5,C72519
XL2596,IC2,TO263-5L,C74190
200,"R1,R2",R_0603_1608Metric,C8218
ESP-12F,U4,ESP-12F,C82891
LED,"D10,D13,D3,D4,D5,D6,D7,D8,D9",LED_0805_2012Metric,C84256
ULN2803A,U3,SOP-18_7x12.5mm_P1.27mm,C845537
CH340C,U8,SOP-16_4.55x10.3mm_P1.27mm,C84681
Conn_01x05,J13,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,C86505
AZ1117,IC1,SOT-223,C92517
SMDRI127-330MT,L1,TMPA1265SP-101MN-D,C9400
Ground,J14,PowerPin,
12V In,J17,PowerPin,
