Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,82.3976,-83.8302,180.0,top
C2,10uF,C_0805_2012Metric,77.3582,-87.3252,180.0,top
C3,1uF,C_0805_2012Metric,54.7726,-47.879,0.0,top
C4,470uF,CP_Elec_10x10.5,54.163,-37.6682,90.0,top
C5,330uF,CP_Elec_10x10.5,32.7,-54.8894,-90.0,top
C6,0.1uF,C_0805_2012Metric,88.4428,-55.9156,0.0,top
C7,10uF,C_0805_2012Metric,52.07,-91.9988,-90.0,top
C8,0.1uF,C_0805_2012Metric,160.1064,-117.2464,0.0,top
C9,0.1uF,C_0805_2012Metric,47.371,-92.0242,-90.0,top
C11,0.1uF,C_0805_2012Metric,166.2684,-151.4704,90.0,top
C16,0.1uF,C_0805_2012Metric,91.2876,-45.6946,90.0,top
C17,0.1uF,C_0805_2012Metric,86.0552,-45.7962,-90.0,top
C30,0.1uF,C_0805_2012Metric,71.501,-80.4164,-90.0,top
C31,1uF,C_0805_2012Metric,58.0288,-95.8342,180.0,top
D1,S10MC,D_SMC_larger_pads,50.3174,-140.4112,180.0,top
D2,SS36,SMA(DO-214AC),46.1874,-38.5318,90.0,top
D3,LED,LED_0805_2012Metric,57.8104,-101.7626,180.0,top
D4,LED,LED_0805_2012Metric,55.4228,-110.5764,0.0,top
D5,LED,LED_0805_2012Metric,74.2696,-106.36,0.0,top
D6,LED,LED_0805_2012Metric,90.5256,-106.5632,0.0,top
D7,LED,LED_0805_2012Metric,109.6518,-106.5378,0.0,top
D8,LED,LED_0805_2012Metric,127.4318,-106.5124,0.0,top
D9,LED,LED_0805_2012Metric,141.2494,-104.3026,0.0,top
D10,LED,LED_0805_2012Metric,113.5888,-138.7196,180.0,top
D11,BAV99,SOT-23,167.0558,-155.509,90.0,top
D12,BAV99,SOT-23,155.9814,-156.9314,90.0,top
D13,LED,LED_0805_2012Metric,28.2979,-110.5916,0.0,top
IC1,AZ1117,SOT-223,83.4286,-90.5648,-90.0,top
IC2,XL2596,TO263-5L,47.6479,-54.1115,-90.0,top
IC3,PCA9306DCUR,PCA9306DCUR,162.6108,-138.0338,0.0,top
J2,I2C-3V3,Qwic_vertical,109.3216,-45.0596,-90.0,top
J3,I2C-3V3,Qwic_vertical,98.7196,-45.0596,-90.0,top
J4,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,93.5486,-67.8278,90.0,top
J5,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,136.7386,-67.8278,90.0,top
J6,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,113.8786,-67.8278,90.0,top
J7,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,136.7386,-52.5878,90.0,top
J8,776087-1,7760871,84.0,-161.75,0.0,top
J9,105133-0011,MOLEX_105133-0011,57.4229,-88.6714,-90.0,top
J10,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,76.1642,-68.1584,-90.0,top
J11,Teensy_Ethernet,PinHeader_2x03_P2.00mm_Vertical,101.1936,-57.0012,0.0,top
J12,HR911105A,HR911105A,163.6985,-104.5108,0.0,top
J13,Conn_01x05,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,123.2154,-44.4198,0.0,top
J14,Ground,PowerPin,166.4716,-37.0332,0.0,top
J15,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,93.5486,-52.5878,90.0,top
J16,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,113.8786,-52.5878,90.0,top
J17,12V In,PowerPin,48.0822,-151.1046,0.0,top
J18,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,61.356,-68.1584,-90.0,top
J19,ADS1115 - 1001001,PinSocket_1x10_P2.54mm_Vertical,170.5352,-139.9942,180.0,top
J21,Motor1 GRV,Grove,140.7668,-43.8198,180.0,top
KF1,KF142V-5.0-4P,KF142V-5.08-4P,34.2378,-147.5776,90.0,top
KF2,KF142V-5.0-4P,KF142V-5.08-4P,144.9564,-146.4346,90.0,top
KF3,Serial 4 (5V),KF142V-5.08-4P,71.8124,-43.6358,0.0,top
L1,SMDRI127-330MT,TMPA1265SP-101MN-D,34.2138,-39.6494,180.0,top
Q1,BSS138,SOT-23,62.3976,-95.8342,180.0,top
Q2,BSS138,SOT-23,67.2744,-95.8342,0.0,top
R1,200,R_0603_1608Metric,129.761,-86.8274,0.0,top
R2,200,R_0603_1608Metric,139.3876,-86.7258,0.0,top
R3,500,R_0603_1608Metric,53.975,-101.8642,0.0,top
R4,500,R_0603_1608Metric,58.9534,-110.5764,180.0,top
R5,500,R_0603_1608Metric,77.9018,-106.4108,180.0,top
R6,500,R_0603_1608Metric,94.3864,-106.5632,180.0,top
R7,500,R_0603_1608Metric,113.1824,-106.5378,180.0,top
R8,500,R_0603_1608Metric,130.9878,-106.5124,180.0,top
R9,500,R_0603_1608Metric,137.2362,-106.5688,0.0,top
R10,500,R_0603_1608Metric,109.8672,-138.7958,0.0,top
R11,150,R_0603_1608Metric,155.4378,-117.1956,180.0,top
R12,2.2K,R_0603_1608Metric,99.7204,-64.2366,-90.0,top
R13,2.2K,R_0603_1608Metric,95.6056,-64.2366,-90.0,top
R14,10K,R_0603_1608Metric,34.925,-91.694,-90.0,top
R15,10K,R_0603_1608Metric,38.9382,-91.694,-90.0,top
R16,10K,R_0603_1608Metric,42.9514,-68.2244,-90.0,top
R17,10K,R_0603_1608Metric,52.7558,-71.3872,90.0,top
R18,341,R_0603_1608Metric,162.9664,-146.2888,0.0,top
R19,341,R_0603_1608Metric,162.8394,-142.1486,0.0,top
R20,200K,R_0603_1608Metric,163.1696,-133.5888,-90.0,top
R21,217,R_0603_1608Metric,157.734,-133.665,180.0,top
R22,217,R_0603_1608Metric,157.7086,-137.8052,180.0,top
R23,500,R_0603_1608Metric,28.321,-105.9942,180.0,top
RLY1,HF3FF_012-1HST_257_,HF3FF0121HST257,41.7266,-104.0186,180.0,top
RLY2,HF3FF_012-1HST_257_,HF3FF0121HST257,52.109466,-123.7534,-90.0,top
RLY3,HF3FF_012-1HST_257_,HF3FF0121HST257,69.948732,-118.0806,-90.0,top
RLY4,HF3FF_012-1HST_257_,HF3FF0121HST257,87.787998,-118.0806,-90.0,top
RLY5,HF3FF_012-1HST_257_,HF3FF0121HST257,105.627264,-118.0806,-90.0,top
RLY6,HF3FF_012-1HST_257_,HF3FF0121HST257,123.46653,-118.0806,-90.0,top
RLY7,HF3FF_012-1HST_257_,HF3FF0121HST257,141.3058,-118.0806,-90.0,top
RLY8,HF3FF_012-1HST_257_,HF3FF0121HST257,126.5372,-138.1156,180.0,top
RLY9,HF3FF_012-1HST_257_,HF3FF0121HST257,34.1828,-123.7534,90.0,top
U1,PC817,SMD-4_4.6x7.62mm_P2.54mm,129.6594,-78.6994,90.0,top
U2,PC817,SMD-4_4.6x7.62mm_P2.54mm,139.3114,-78.7248,90.0,top
U3,ULN2803A,SOP-18_7x12.5mm_P1.27mm,119.2276,-87.0306,-90.0,top
U4,ESP-12F,ESP-12F,38.78765,-80.519,90.0,top
U6,ADS1115IDGS - 1001000,TSSOP-10_3x3mm_P0.5mm,159.5628,-150.5306,0.0,top
U8,CH340C,SOP-16_4.55x10.3mm_P1.27mm,64.709,-83.8708,0.0,top
U9,CA-IS3722HS,SOIC-8_3.9x4.9mm_P1.27mm,88.7222,-40.8432,180.0,top
